  (Steiner Minimal Tree:  10 points,  length = 2.042902964117610,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.038093602281532,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.309598204961252,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.217590112548833,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.039657645916862,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.790600778748229,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.018098026311853,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.062422673570070,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.068335739710670,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.143762213014328,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.069735935964764,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.294710292346148,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.960318767765359,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.323680336586789,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.885896527014809,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.714032334792532,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.802941873092424,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.887989706090691,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.389042840084343,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.966850784840729,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.343821246257601,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.874737925150567,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.328167992433434,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.172078961082291,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.824039761709172,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.886995310890965,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.811764028592090,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.451760396006031,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.496849267868745,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.074406789573272,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.495077769991934,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.761449521482539,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.490282044333867,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.774715091757236,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.061470854011050,  0.02 seconds)
  (Steiner Minimal Tree:  10 points,  length = 2.038907553275557,  0.00 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.867385048460976,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.972054022726985,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.919306784381306,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.817004399738028,  0.01 seconds)
  (Steiner Minimal Tree:  10 points,  length = 1.903426437914348,  0.01 seconds)
